S1,S2,SCORE
"The technology-laced Nasdaq Composite Index dipped 0.08 of a point to 1,646.","The technology-laced Nasdaq Composite Index <.IXIC> added 1.92 points, or 0.12 percent, at 1,647.94.",2.4
"He told the jury Stubbs is a ""cold, calculating killer.""","District Attorney Dave Lupas reminded jurors that Stubbs is, ""a cold, calculating killer"".",3
"Likewise, the 30-year bond <US30YT=RR> slid 1-11/32 for a yield of 4.38 percent, up from 4.30 percent.","The 30-year bond US30YT=RR jumped 20/32, taking its yield to 4.14 percent from 4.18 percent.",1.8
"A seventh victim, a woman, died Tuesday night in the burn unit at childrens Hospital Medical Center of Akron.","A seventh person, a 21-year-old woman, was in critical condition in the burn unit at Akron Children's Hospital.",2.4
"The men were immediately flown to nearby Botswana on a chartered Air Malawi flight, Malawi intelligence officials said on condition of anonymity.","The men were flown to nearby Botswana on an Air Malawi flight, the officials said.",3.533
"In exchange, North Korea would be required to end its nuclear weapons program.",In return we expect North Korea to give up nuclear weapons.,4.75
"We condemn and denounce the Governing Council, which is headed by the United States, Moqtada al-Sadr said.","We condemn the Governing Council headed by the United States, Sadr said in a fiery sermon at Koufa mosque near Najaf.",3.333
Sendmail said the system can even be set up to permit business-only usage.,"The product can be instructed to permit business-only use, according to Sendmail.",5
That exploit works on unpatched Windows 2000 machines with Service Pack 3 and 4.,Both Counterpane and iDefense contend that the exploit works effectively against Windows 2000 systems running Service Pack 3 and 4.,3
"Further out the curve, the benchmark 10-year note US10YT=RR shed 25/32 in price, taking its yield to 3.26 percent from 3.17 percent.","Early Wednesday, the benchmark 10-year US10YT=RR had lost 16/32 in price, driving its yield up to 3.33 percent from 3.26 percent late Tuesday.",3
"Tech stocks were hurt by a sour forecast from Sun Microsystems, which was viewed as a bad omen for the upcoming quarterly earnings season.",A sour forecast from Sun Microsystems Inc. SUNW.O put more pressure on Wall Street before the quarterly earnings season.,3
Shares of Coke were up 6 cents at $44.42 in afternoon trading Wednesday on the New York Stock Exchange.,Shares of Coke were down 26 cents to close at $44.10 on the New York Stock Exchange.,1.846
Ernst & Young has denied any wrongdoing and plans to fight the allegations.,"Ernst & Young has denied the SEC's claims, and called its recommendations ""irresponsible"".",3
"Neither military action nor large-scale bribery can solve the North Korean problem, Wolfowitz said.","Indeed, Wolfowitz admitted Saturday that neither military action nor ""large scale bribery"" would solve the issue.",3
"The driver, Eugene Rogers, helped to remove children from the bus, Wood said.","At the accident scene, the driver was ""covered in blood"" but helped to remove children, Wood said.",3.2
"The broader Standard & Poor's 500 Index <.SPX> was up 9.69 points, or 0.98 percent, at 994.53.","The tech-laced Nasdaq Composite Index <.IXIC> gained 18.35 points, or 1.13 percent, to 1,646.02.",1
Shares of Guidant plummeted in trading both on and off the New York Stock Exchange before a news halt was imposed after midday.,Shares of Guidant were down 5.3 percent at $40.92 in afternoon trading on the New York Stock Exchange.,2.647
"Three Weeks in October goes on sale Monday, nearly a year after the Washington, D.C.-area sniper shootings started.","Moose's book goes on sale Monday, nearly a year after the sniper shootings started in the Washington area.",3.25
"Based on a separate survey of households, the unemployment rate fell in August to 6.1 percent from 6.2 percent.","Labor Department analysts discounted a slight improvement in the national unemployment rate, which fell in August to 6.1 percent from 6.2 percent.",3.75
"The rate of skin cancer has tripled since the 1950s in Norway and Sweden, according to the study.",The study also found that skin cancer nearly tripled in Norway and Sweden since the 1950s.,4.75
The judge also refused to postpone the trial date of Sept. 29.,Obus also denied a defense motion to postpone the Sept. 29 trial date.,3.929
"While opposition parties have welcomed the cabinet's decision on anti-retroviral treatment, some said Health Minister Manto Tshabalala-Msimang was not fit to preside over a rollout plan.","Health Minister Manto-Tshabalala Msimang is not fit to preside over an anti-retroviral treatment rollout plan, according to some opposition parties.",3.4
"Chief merchandising officers oversee the buying and development of merchandise, deciding the merchandising direction of the company, or basically what it should stand for.","He or she decides the merchandising direction of the company, or basically what it should stand for.",3.2
"The Rev. Christopher J. Coyne, spokesman for the archdiocese, wouldn't comment Friday.","The Rev. Christopher Coyne, spokesman for the archdiocese, did not immediately return several calls seeking comment.",3.8
"Several relatives of Australian victims of the attack were in court to witness the proceedings, but few Balinese attended the trial.","Several relatives of Australian victims of the attack sat in the front row of the court, but few Balinese attended the trial.",4.6
"On July 10, a team of 32 Singaporean police officers was sent to Baghdad.",In July 32 Singaporean police officers were sent to Baghdad to help train Iraqi police forces and returned home last month.,3.2
The euro <EUR=> was up 0.67 percent against the dollar at $1.1784 after rising to a three-month high earlier in the session above $1.18.,"In early U.S. trading, the euro <EUR=> was down 0.6 percent to $1.1741, after rising to a four-month high of $1.1860.",2.2
"Previously, it had reported a profit of $12 million, or 0 cents a share, for that period.","Previously, it had reported a small profit of $12 million, or break-even on a per-share basis, for the period.",4.4
"A coalition of campaign groups, including the militant national students body, is backing the protests, which the NLC called in defiance of a court order banning them.","A coalition of campaign groups, including the militant national students body, is backing the action and is mobilising for protests.",3.333
The company is highlighting the addition of .NET and J2EE support to its Enterprise Application Environment (EAE) with the new mainframe.,"The company is also adding .Net and J2EE support to its Enterprise Application Environment development toolset, Sapp said.",4
"Since being drafted into service in 1971, it has racked up a record 45 accidents, with 393 deaths.","It has a chequered safety record, including 47 accidents that resulted in 668 deaths.",1.333
"Ryan Harvey, an outfielder from Dunedin High School in Florida, was selected with the sixth pick by the Chicago Cubs.","Ryan Harvey, a high school outfielder from Florida, was chosen sixth by the Cubs.",4.2
Glover spoke at a news conference that included about 20 relatives of the victims.,About 20 family members of the victims were invited to the news conference.,3.2
